school,child rate 1km,child rate outside,pedestrian rate outside,population
Somerville Primary (NC) School,5,5,5,2,17
Rockwood Academy,5,5,5,2,17
Nansen Primary School,5,5,5,2,17
Ark Boulton Academy,5,5,5,2,17
Arden Primary School,5,5,5,2,17
Sladefield Infant School,5,5,5,1,16
Shaw Hill Primary School,5,5,5,1,16
Nelson Mandela School,5,5,5,1,16
Conway Primary School,5,5,5,1,16
Ward End Community College,5,5,5,0,15
Thornton Primary School,5,3,5,2,15
North Birmingham Academy,5,5,3,2,15
Grove School,5,5,3,2,15
Greenfields Primary School,5,5,5,0,15
Fairfax,3,5,3,4,15
Aston University Engineering Academy,3,5,5,2,15
Ark St Alban's Academy,3,5,5,2,15
Stanville Primary School,3,5,5,1,14
St Thomas Aquinas Catholic School,3,5,3,3,14
St Saviour's C of E Primary School,3,5,5,1,14
Percy Shurmer Academy,3,5,5,1,14
Ladypool Primary School,5,3,5,1,14
Holte School,5,3,3,3,14
Heathfield Primary School,5,5,3,1,14
Bishop Challoner Catholic College,3,3,5,3,14
Ark Tindal Primary Academy,3,5,5,1,14
Acocks Green Primary School,3,5,5,1,14
Waverley School,5,1,3,4,13
Ward End Primary School,5,3,3,2,13
Regents Park Community Primary School,3,5,3,2,13
Parkfield Community School,5,3,3,2,13
Osborne Primary School,5,5,3,0,13
"Ninestiles, an Academy",3,3,3,4,13
Moseley School and Sixth Form,3,3,3,4,13
Jamia Islamia Birmingham,5,5,3,0,13
Holyhead School,3,3,3,4,13
Heartlands Academy,3,5,3,2,13
Hazrat Khadijatul Kubra Girls School,5,5,3,0,13
Harborne Academy,3,5,3,2,13
Green Heath School,5,3,5,0,13
Bordesley Green Primary School,5,3,3,2,13
Blakesley Hall Primary School,3,5,3,2,13
Alston Primary School,5,3,3,2,13
Al-Furqan Primary School,3,5,3,2,13
Al Huda Girls' School,3,5,5,0,13
Wychall Primary School,3,5,3,1,12
Welford Primary School,5,3,3,1,12
Twickenham Primary School,3,5,3,1,12
The Rosary Catholic Primary School,5,3,3,1,12
The Deanery Church of England Primary School,3,5,3,1,12
Stechford Primary School,3,5,3,1,12
St Vincent's Catholic Primary School,3,5,3,1,12
Holy Souls Catholic Primary School,3,5,3,1,12
Greenholm Primary School,5,5,0,2,12
Clifton Primary School,5,0,5,2,12
Aston Tower Community Primary School,3,5,3,1,12
Yardley Primary School,3,3,3,2,11
Woodstock Girls' School,5,1,5,0,11
Wilkes Green Junior School,5,0,5,1,11
Wilkes Green Infant School (NC),5,0,5,1,11
The Dame Ellen Pinsent School,3,5,3,0,11
Stockland Green School,3,3,3,2,11
