school,child rate 1km,child rate outside,pedestrian rate outside,population
Rockwood Academy,5,5,5,2,17
Ark Boulton Academy,5,5,5,2,17
North Birmingham Academy,5,5,3,2,15
Fairfax,3,5,3,4,15
Aston University Engineering Academy,3,5,5,2,15
Ark St Alban's Academy,3,5,5,2,15
St Thomas Aquinas Catholic School,3,5,3,3,14
Holte School,5,3,3,3,14
Bishop Challoner Catholic College,3,3,5,3,14
"Ninestiles, an Academy",3,3,3,4,13
Moseley School and Sixth Form,3,3,3,4,13
Holyhead School,3,3,3,4,13
Heartlands Academy,3,5,3,2,13
Harborne Academy,3,5,3,2,13
Stockland Green School,3,3,3,2,11
Saltley Academy,5,3,0,3,11
Plantsbrook School,1,3,3,4,11
Bordesley Green Girls' School & Sixth Form,5,3,1,2,11
Washwood Heath Academy,3,0,3,4,10
Four Dwellings Academy,3,3,3,1,10
City Academy Birmingham,3,3,3,1,10
Yardleys School,3,1,3,2,9
Waverley Studio College,5,1,3,0,9
Kings Norton Girls' School,3,1,3,2,9
King Edward VI Handsworth School,5,0,1,3,9
Hillcrest School A Specialist Maths and Computing College and Sixth Form Centre,3,1,3,2,9
Handsworth Wood Girls' Academy,5,1,1,2,9
Greenwood Academy,5,1,1,2,9
Erdington Academy,1,3,3,2,9
"Eden Boys' School, Birmingham",3,0,5,1,9
Bishop Walsh Catholic School,3,3,0,3,9
Birmingham Ormiston Academy,3,0,3,3,9
The Arthur Terry School,3,0,0,5,8
Swanshurst School,3,0,0,5,8
Shenley Academy,3,1,1,3,8
King Edward VI Five Ways School,3,1,0,4,8
Colmers School and Sixth Form College,1,1,3,3,8
Broadway Academy,3,1,1,3,8
Turves Green Boys' School,3,1,1,2,7
St John Wall Catholic School,3,1,1,2,7
Nishkam High School,5,0,0,2,7
Kings Heath Boys,3,1,1,2,7
City Academy,1,1,3,2,7
Bartley Green School,3,1,1,2,7
Turves Green Girls' School,3,1,0,2,6
Queensbridge School,3,1,0,2,6
King Edward VI Sheldon Heath Academy,3,0,0,3,6
Hodge Hill College,3,0,0,3,6
Hall Green School,3,0,1,2,6
Great Barr Academy,1,0,0,5,6
Cockshut Hill Technology College,1,1,1,3,6
Wheelers Lane Technology College,3,0,0,2,5
Lordswood Girls' School and Sixth Form Centre,3,0,0,2,5
King's Norton Boys' School,3,0,0,2,5
King Edward VI Aston School,3,0,0,2,5
George Dixon Academy,3,0,0,2,5
Dame Elizabeth Cadbury School,1,1,1,2,5
Cardinal Wiseman Catholic School,3,0,0,2,5
Aston Manor Academy,3,0,0,2,5
The University of Birmingham School,1,0,1,2,4
St Paul's School for Girls,1,0,0,3,4
Selly Park Technology College for Girls,1,1,0,2,4
King Edward VI Camp Hill School for Girls,1,0,0,3,4
Jewellery Quarter Academy,3,0,0,1,4
Hamstead Hall Academy,1,0,0,3,4
Bishop Vesey's Grammar School,1,0,0,3,4
Balaam Wood School,3,0,0,1,4
Sutton Coldfield Grammar School for Girls,0,0,0,3,3
King Edward VI Camp Hill School for Boys,1,0,0,2,3
Hodge Hill Girls' School,1,0,0,2,3
