dfes no,school name,grid ref,tot pupil,pupil within 1000m
2179,Starbank  School,"(411459, 285797)",1933,1496
4009,Waverley School,"(411649, 286411)",1480,977
4241,Holyhead School,"(403720, 289706)",1264,972
4223,Holte School,"(406784, 289217)",1122,962
4227,Broadway Academy,"(407184, 290576)",1172,915
4018,Saltley Academy,"(411507, 287349)",1032,855
4025,Small Heath Leadership Academy,"(409802, 285935)",,816
3432,Clifton Primary School,"(408415, 284268)",920,782
2086,Greet Primary School,"(409762, 283925)",921,770
2038,Nansen Primary School,"(410621, 288154)",961,756
2479,Anglesey Primary School,"(406168, 289084)",761,741
2108,Ward End Primary School,"(411560, 288925)",895,734
2165,Highfield Junior and Infant School,"(410330, 288353)",849,729
4013,Ark Boulton Academy,"(409552, 284351)",883,723
2186,Birchfield Primary School,"(406908, 290117)",,690
2003,Prince Albert Junior and Infant School,"(407346, 289594)",737,685
2176,Somerville Primary (NC) School,"(409939, 285898)",784,676
2458,Parkfield Community School,"(410319, 287495)",737,649
2030,Bordesley Green Primary School,"(411033, 286761)",744,645
3430,Hodge Hill Primary School,"(412585, 289348)",807,638
3412,Audley Primary School,"(414053, 287792)",871,628
2144,Alston Primary School,"(411572, 287074)",686,619
4115,Bordesley Green Girls' School & Sixth Form,"(410002, 287014)",962,617
2062,Anderton Park Primary School,"(408581, 283707)",749,615
2466,Grove School,"(404614, 289753)",722,594
2146,Wyndcliffe Primary School,"(409661, 286410)",688,590
2192,Thornton Primary School,"(411778, 288114)",690,590
2300,Arden Primary School,"(409441, 284146)",705,589
4323,Rockwood Academy,"(410621, 288154)",599,561
2005,Kings Heath Primary School,"(407581, 282220)",724,555
4019,Ark Victoria Academy,"(410539, 284984)",496,550
2070,Montgomery Primary Academy,"(409226, 285072)",648,536
2447,The Oval School,"(413952, 286945)",700,532
4307,The Arthur Terry School,"(411152, 299031)",1695,525
2063,Regents Park Community Primary School,"(408940, 286042)",634,520
5410,Fairfax,"(413812, 295975)",1407,516
